time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
5100,2021-10-16 19:01:42,29.4072009931964,-82.1690827218296,0.656168,0.62335959999999,58.960002214804,59.583361814804,0,0,0.42902232344,13,4,0,59.583361814804,0.656168,0,0.42902232344,0,0,-0.671082,91.3, -0.1, -0.2,0,0,1024,1024,1151,1024,0,0,99,,,,,,,0,32,59.583361814804,0.656168,6,P-GPS,
5200,2021-10-16 19:01:42,29.4072008749193,-82.1690828567976,0.656168,0.62335959999999,58.960002214804,59.583361814804,0,0,0.48050526472,13,4,0,59.583361814804,0.656168,0,0.48050526472,0,0,-0.671082,91.2, -0.1, -0.4,0,0,1024,1024,1162,1024,0,0,99,,,,,,,0,32,59.583361814804,0.656168,6,P-GPS,
5300,2021-10-16 19:01:43,29.4072007333782,-82.1690829791746,0.984252,0.95144359999999,58.960002214804,59.911445814804,0,0.223694,0.54084975484,13,4,0,59.911445814804,0.984252,0.223694,0.54084975484,-0.223694,0,-0.894776,91.2, -0.2, -0.6,0,0,1024,1024,1169,1024,0,0,99,,,,,,,0,32,59.911445814804,0.984252,6,P-GPS,
5400,2021-10-16 19:01:43,29.4072005608397,-82.169083147979,0.984252,0.95144359999999,58.960002214804,59.911445814804,0,0.223694,0.61771983604,12,4,0,59.911445814804,0.984252,0.223694,0.61771983604,-0.223694,0,-0.894776,91.3, -0.2, -0.4,0,0,1024,1024,1180,1024,0,0,99,,,,,,,0,32,59.911445814804,0.984252,6,P-GPS,
5600,2021-10-16 19:01:43,29.4072001547025,-82.1690834216723,1.312336,1.2795276,58.960002214804,60.239529814804,0,0.223694,0.78743112756,12,4,0,60.239529814804,1.312336,0.223694,0.78743112756,-0.223694,0,-0.894776,91.3, -0.8, -1.2,0,0,1024,1024,1162,1024,0,0,99,,,,,,,0,32,60.239529814804,1.312336,6,P-GPS,
5700,2021-10-16 19:01:43,29.4071999398146,-82.1690835293249,1.312336,1.2467192,58.992810614804,60.239529814804,0,0.223694,0.87295934552,12,4,0,60.239529814804,1.312336,0.223694,0.87295934552,-0.223694,0,-0.894776,91.3, -0.8, -1.5,0,0,1024,1024,1209,1024,0,0,99,,,,,,,0,32,60.239529814804,1.312336,6,P-GPS,
5800,2021-10-16 19:01:43,29.4071997241858,-82.1690836221152,1.64042,1.5748032,58.992810614804,60.567613814804,0,0.223694,0.95693244532,12,4,0,60.567613814804,1.64042,0.223694,0.95693244532,-0.223694,0,-0.894776,91.3, -0.6, -1.5,0,0,1024,1024,1211,1024,0,0,99,,,,,,,0,32,60.567613814804,1.64042,6,P-GPS,
5900,2021-10-16 19:01:43,29.40719952313,-82.1690837093993,1.64042,1.5748032,58.992810614804,60.567613814804,0,0.223694,1.03532483628,12,4,0,60.567613814804,1.64042,0.223694,1.03532483628,-0.223694,0,-0.894776,91.3, -0.6, -1.6,0,0,1024,1024,1195,1024,0,0,99,,,,,,,0,32,60.567613814804,1.64042,6,P-GPS,
6000,2021-10-16 19:01:43,29.4071993366276,-82.1690838253457,1.968504,1.9028872,58.992810614804,60.895697814804,0,0.223694,1.11229006184,12,4,0,60.895697814804,1.968504,0.223694,1.11229006184,-0.223694,0,-1.342164,91.3, -0.6, -1.6,0,0,1024,1024,1191,1024,0,0,99,,,,,,,0,32,60.895697814804,1.968504,6,P-GPS,
6100,2021-10-16 19:01:43,29.4071991527811,-82.1690839281434,1.968504,1.9028872,58.992810614804,60.895697814804,0,0.223694,1.18678809572,12,4,0,60.895697814804,1.968504,0.223694,1.18678809572,-0.223694,0,-1.342164,91.3, -0.7, -1.6,0,0,1024,1024,1187,1024,0,0,99,,,,,,,0,32,60.895697814804,1.968504,6,P-GPS,
6200,2021-10-16 19:01:43,29.4071989607355,-82.1690839877228,2.296588,2.2309712,58.992810614804,61.223781814804,0,0.223694,1.25874019776,11,4,0,61.223781814804,2.296588,0.223694,1.25874019776,-0.223694,0,-1.342164,91.3, -0.6, -1.6,0,0,1024,1024,1187,1024,0,0,99,,,,,,,0,32,61.223781814804,2.296588,6,P-GPS,
6300,2021-10-16 19:01:44,29.4071987703476,-82.1690840421396,2.296588,2.2309712,58.992810614804,61.223781814804,0,0.223694,1.32958665672,11,4,0,61.223781814804,2.296588,0.223694,1.32958665672,-0.223694,0,-1.11847,91.3, -0.6, -1.6,0,0,1024,1024,1187,1024,0,0,99,,,,,,,0,32,61.223781814804,2.296588,6,P-GPS,
